127.0.0.1 - - [13/Mar/2020:01:43:58 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [13/Mar/2020:01:44:03 +0900] "GET /MVC/ HTTP/1.1" 200 11470
0:0:0:0:0:0:0:1 - - [13/Mar/2020:01:44:03 +0900] "GET /MVC/css/egovframework/sample.css;jsessionid=B04ED9B73946D96E5D3F1C4D3FE03808 HTTP/1.1" 200 10111
0:0:0:0:0:0:0:1 - - [13/Mar/2020:01:44:03 +0900] "GET /MVC/images/egovframework/example/btn_bg_r.gif;jsessionid=B04ED9B73946D96E5D3F1C4D3FE03808 HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [13/Mar/2020:01:44:03 +0900] "GET /MVC/images/egovframework/example/title_dot.gif;jsessionid=B04ED9B73946D96E5D3F1C4D3FE03808 HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [13/Mar/2020:01:44:03 +0900] "GET /MVC/images/egovframework/cmmn/btn_page_pre1.gif HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [13/Mar/2020:01:44:03 +0900] "GET /MVC/images/egovframework/cmmn/btn_page_next1.gif HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [13/Mar/2020:01:44:03 +0900] "GET /MVC/images/egovframework/cmmn/btn_page_next10.gif HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [13/Mar/2020:01:44:03 +0900] "GET /MVC/images/egovframework/cmmn/btn_page_pre10.gif HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [13/Mar/2020:01:44:03 +0900] "GET /MVC/images/egovframework/example/btn_bg_l.gif HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [13/Mar/2020:01:44:03 +0900] "GET /MVC/images/egovframework/example/th_bg.gif HTTP/1.1" 200 283
